Text,Image
urn:cts:greekLit:tlg0012.tlg001.e3:8.1,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.501,0.3063,0.224,0.0435"
urn:cts:greekLit:tlg0012.tlg001.e3:8.2,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.508,0.3363,0.215,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:8.3,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.508,0.3559,0.217,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:8.4,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.509,0.3709,0.212,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:8.5,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.502,0.3889,0.208,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:8.6,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.508,0.4039,0.207,0.0315"
urn:cts:greekLit:tlg0012.tlg001.e3:8.7,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.507,0.4204,0.222,0.0315"
urn:cts:greekLit:tlg0012.tlg001.e3:8.8,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.508,0.4369,0.215,0.0345"
urn:cts:greekLit:tlg0012.tlg001.e3:8.9,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.508,0.4535,0.215,0.0345"
urn:cts:greekLit:tlg0012.tlg001.e3:8.10,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.507,0.467,0.217,0.039"
urn:cts:greekLit:tlg0012.tlg001.e3:8.11,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.506,0.485,0.214,0.039"
urn:cts:greekLit:tlg0012.tlg001.e3:8.12,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.505,0.503,0.224,0.039"
urn:cts:greekLit:tlg0012.tlg001.e3:8.13,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.507,0.5195,0.2,0.0375"
urn:cts:greekLit:tlg0012.tlg001.e3:8.14,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.506,0.5345,0.215,0.039"
urn:cts:greekLit:tlg0012.tlg001.e3:8.15,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.506,0.5465,0.213,0.0435"
urn:cts:greekLit:tlg0012.tlg001.e3:8.16,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.508,0.5676,0.213,0.0405"
urn:cts:greekLit:tlg0012.tlg001.e3:8.17,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.508,0.5856,0.216,0.0375"
urn:cts:greekLit:tlg0012.tlg001.e3:8.18,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.505,0.5991,0.211,0.0405"
urn:cts:greekLit:tlg0012.tlg001.e3:8.19,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.505,0.6156,0.203,0.0405"
urn:cts:greekLit:tlg0012.tlg001.e3:8.20,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.507,0.6336,0.203,0.0405"
urn:cts:greekLit:tlg0012.tlg001.e3:8.21,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.506,0.6486,0.199,0.045"
urn:cts:greekLit:tlg0012.tlg001.e3:8.22,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.268,0.2387,0.223,0.0345"
urn:cts:greekLit:tlg0012.tlg001.e3:8.23,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.267,0.2583,0.223,0.0345"
urn:cts:greekLit:tlg0012.tlg001.e3:8.24,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.267,0.2733,0.223,0.0345"
urn:cts:greekLit:tlg0012.tlg001.e3:8.25,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.267,0.2898,0.223,0.0345"
urn:cts:greekLit:tlg0012.tlg001.e3:8.26,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.267,0.3078,0.231,0.0345"
urn:cts:greekLit:tlg0012.tlg001.e3:8.27,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.267,0.3273,0.231,0.0345"
urn:cts:greekLit:tlg0012.tlg001.e3:8.28,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.256,0.3408,0.241,0.0345"
urn:cts:greekLit:tlg0012.tlg001.e3:8.29,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.268,0.3589,0.229,0.0345"
