Scholion,Image,Number
urn:cts:greekLit:tlg5026.e3.hmt:8.2,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.498,0.1276,0.011,0.03",10
urn:cts:greekLit:tlg5026.e3.hmt:8.3,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.583,0.1607,0.03,0.027",11
urn:cts:greekLit:tlg5026.e3.hmt:8.4,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.719,0.2538,0.017,0.0255",12
urn:cts:greekLit:tlg5026.e3.hmt:8.5,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.716,0.2838,0.021,0.0225",13
urn:cts:greekLit:tlg5026.e3.hmt:8.6,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.72,0.3483,0.015,0.024",14
urn:cts:greekLit:tlg5026.e3.hmt:8.7,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.718,0.3889,0.013,0.0225",15
urn:cts:greekLit:tlg5026.e3.hmt:8.8,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.717,0.4595,0.016,0.024",16
urn:cts:greekLit:tlg5026.e3.hmt:8.9,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.717,0.485,0.015,0.0225",17
turn:cts:greekLit:lg5026.e3.hmt:8.10,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.715,0.548,0.017,0.0255",18
urn:cts:greekLit:tlg5026.e3.hmt:8.11,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.714,0.6096,0.015,0.03",19
urn:cts:greekLit:tlg5026.e3.hmt:8.12,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.714,0.6802,0.012,0.0255",20
urn:cts:greekLit:tlg5026.e3.hmt:8.13,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.687,0.7072,0.022,0.024",21
urn:cts:greekLit:tlg5026.e3.hmt:8.14,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.706,0.7372,0.018,0.0255",22
urn:cts:greekLit:tlg5026.e3.hmt:8.15,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.498,0.7417,0.016,0.024",23
urn:cts:greekLit:tlg5026.e3.hmt:8.16,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.497,0.7583,0.017,0.0195",24
urn:cts:greekLit:tlg5026.e3.hmt:8.17,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.496,0.7883,0.015,0.0285",25
urn:cts:greekLit:tlg5026.e3.hmt:8.18,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.586,0.8333,0.016,0.0285",26
urn:cts:greekLit:tlg5026.e3.hmt:8.20,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.149,0.1021,0.014,0.027",1
urn:cts:greekLit:tlg5026.e3.hmt:8.21,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.148,0.1201,0.011,0.018",2
urn:cts:greekLit:tlg5026.e3.hmt:8.22,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.295,0.1366,0.015,0.024",2
urn:cts:greekLit:tlg5026.e3.hmt:8.23,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.148,0.1577,0.013,0.0225",4
urn:cts:greekLit:tlg5026.e3.hmt:8.24,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.148,0.1742,0.015,0.0225",5
urn:cts:greekLit:tlg5026.e3.hmt:8.25,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.146,0.2372,0.011,0.0255",6
urn:cts:greekLit:tlg5026.e3.hmt:8.26,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.143,0.3168,0.015,0.0285",7
urn:cts:greekLit:tlg5026.e3.hmt:8.27,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.144,0.4249,0.014,0.027",8
urn:cts:greekLit:tlg5026.e3.hmt:8.28,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.141,0.4865,0.017,0.0315",9
